level,tableIndex,oClass,instances,pvarPlacements,noPvarPlacements,pvarByteSizes,assetPayloadAvailable,highLodModelAvailable,highLodPacketCount,jointCount,ordinarySequenceSlotCount,ordinarySequencePopulatedCount,sourceSequenceAvailable,ratchetSequenceTableAvailable,ratchetSequenceSlotCount,ratchetSequencePopulatedCount
0,0,0,1,1,0,32,true,true,63,111,134,0,true,true,256,134
0,1,1,0,0,0,,true,false,0,20,23,23,true,false,0,0
0,2,2,0,0,0,,true,false,0,20,23,23,true,false,0,0
0,3,809,1,0,1,,false,false,0,0,0,0,false,false,0,0
0,4,1007,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,5,10,0,0,0,,true,true,44,75,1,1,true,false,0,0
0,6,11,0,0,0,,true,true,26,45,5,5,true,false,0,0
0,7,12,0,0,0,,true,true,22,92,10,0,false,false,0,0
0,8,13,29,29,0,112,true,true,1,1,2,1,true,false,0,0
0,9,14,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,10,15,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,11,16,0,0,0,,true,true,4,0,1,1,true,false,0,0
0,12,71,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,13,74,0,0,0,,true,true,7,2,4,3,true,false,0,0
0,14,110,0,0,0,,true,true,9,12,1,1,true,false,0,0
0,15,112,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,16,121,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,17,122,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,18,149,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,19,153,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,20,157,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,21,163,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,22,166,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,23,167,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,24,168,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,25,172,0,0,0,,true,true,3,4,1,1,true,false,0,0
0,26,173,0,0,0,,true,true,8,5,3,3,true,false,0,0
0,27,175,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,28,176,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,29,177,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,30,179,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,31,180,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,32,185,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,33,186,0,0,0,,true,true,14,38,11,8,true,false,0,0
0,34,188,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,35,190,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,36,192,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,37,195,0,0,0,,true,true,10,5,3,3,true,false,0,0
0,38,203,0,0,0,,true,true,9,62,4,3,true,false,0,0
0,39,204,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,40,208,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,41,209,0,0,0,,true,true,6,9,8,8,true,false,0,0
0,42,213,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,43,214,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,44,222,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,45,223,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,46,225,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,47,226,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,48,229,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,49,230,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,50,270,0,0,0,,true,true,5,43,5,4,true,false,0,0
0,51,305,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,52,348,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,53,349,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,54,354,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,55,355,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,56,356,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,57,357,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,58,358,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,59,359,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,60,407,0,0,0,,true,true,3,2,3,3,true,false,0,0
0,61,428,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,62,433,0,0,0,,true,true,11,22,4,3,true,false,0,0
0,63,454,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,64,457,0,0,0,,true,true,3,2,1,1,true,false,0,0
0,65,479,0,0,0,,true,true,5,10,1,1,true,false,0,0
0,66,483,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,67,500,103,103,0,256,true,true,2,0,1,1,true,false,0,0
0,68,501,2,2,0,256,true,true,4,0,1,1,true,false,0,0
0,69,511,6,6,0,256,true,true,2,0,1,1,true,false,0,0
0,70,530,1,1,0,80,true,true,49,31,3,3,true,false,0,0
0,71,562,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,72,585,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,73,601,0,0,0,,true,true,22,33,18,18,true,false,0,0
0,74,607,0,0,0,,true,true,17,36,9,9,true,false,0,0
0,75,608,0,0,0,,true,true,6,15,9,9,true,false,0,0
0,76,609,0,0,0,,true,true,7,10,5,5,true,false,0,0
0,77,614,0,0,0,,true,true,8,1,1,1,true,false,0,0
0,78,618,0,0,0,,true,true,7,5,1,1,true,false,0,0
0,79,619,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,80,634,0,0,0,,true,true,26,75,9,8,true,false,0,0
0,81,639,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,82,657,0,0,0,,true,true,1,3,2,1,true,false,0,0
0,83,749,16,16,0,640,true,true,21,53,8,8,true,false,0,0
0,84,750,0,0,0,,true,true,19,43,5,5,true,false,0,0
0,85,760,6,6,0,96,false,false,0,0,0,0,false,false,0,0
0,86,775,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,87,804,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,88,806,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,89,834,1,1,0,160,true,true,26,33,1,1,true,false,0,0
0,90,849,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,91,1006,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,92,1060,21,21,0,16,true,true,1,0,1,1,true,false,0,0
0,93,1137,1,0,1,,true,true,1,5,2,2,true,false,0,0
0,94,1138,0,0,0,,true,true,1,5,216,216,true,false,0,0
0,95,1143,0,0,0,,true,true,9,3,1,1,true,false,0,0
0,96,1146,0,0,0,,true,true,4,4,2,2,true,false,0,0
0,97,1192,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,98,1204,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,99,1249,0,0,0,,true,true,31,92,3,3,true,false,0,0
0,100,1251,0,0,0,,false,false,0,0,0,0,false,false,0,0
0,101,1289,0,0,0,,true,true,11,3,3,3,true,false,0,0
0,102,1290,0,0,0,,true,true,10,2,3,3,true,false,0,0
0,103,1365,0,0,0,,true,true,26,34,1,1,true,false,0,0
0,104,1413,1,1,0,48,false,false,0,0,0,0,false,false,0,0
0,105,1438,0,0,0,,true,true,2,1,1,1,true,false,0,0
0,106,1440,9,9,0,480,true,true,31,35,13,13,true,false,0,0
0,107,1447,0,0,0,,true,true,2,1,1,1,true,false,0,0
0,108,1449,0,0,0,,true,true,3,0,1,1,true,false,0,0
0,109,1471,1,1,0,16,false,false,0,0,0,0,false,false,0,0
0,110,1515,0,0,0,,true,true,26,5,1,1,true,false,0,0
0,111,1520,1,0,1,,true,true,30,7,1,1,true,false,0,0
0,112,1545,1,0,1,,false,false,0,0,0,0,false,false,0,0
0,113,1564,25,25,0,128,true,true,3,25,2,2,true,false,0,0
0,114,1635,0,0,0,,true,true,2,1,1,1,true,false,0,0
0,115,1781,33,0,33,,true,true,6,13,2,2,true,false,0,0
0,116,1782,36,0,36,,true,true,7,13,2,2,true,false,0,0
0,117,1871,0,0,0,,true,true,1,0,1,1,true,false,0,0
0,118,1872,0,0,0,,true,true,2,0,1,1,true,false,0,0
0,119,1900,0,0,0,,true,true,7,62,4,3,true,false,0,0
0,120,1933,0,0,0,,true,true,8,1,1,1,true,false,0,0
0,121,1934,0,0,0,,true,true,7,1,1,1,true,false,0,0
0,122,1935,0,0,0,,true,true,8,1,1,1,true,false,0,0
0,123,1963,0,0,0,,true,true,1,1,1,1,true,false,0,0
0,124,1964,1,0,1,,true,true,1,0,1,1,true,false,0,0
1,0,0,1,0,1,,true,true,63,111,134,0,true,true,256,88
1,1,1,0,0,0,,true,false,0,20,23,23,true,false,0,0
1,2,2,0,0,0,,true,false,0,20,23,23,true,false,0,0
1,3,726,1,1,0,208,true,true,11,1,1,1,true,false,0,0
1,4,809,1,0,1,,false,false,0,0,0,0,false,false,0,0
1,5,1007,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,6,10,0,0,0,,true,true,44,75,1,1,true,false,0,0
1,7,11,1,1,0,160,true,true,26,45,5,5,true,false,0,0
1,8,12,0,0,0,,true,true,22,92,10,0,false,false,0,0
1,9,13,281,281,0,112,true,true,1,1,2,1,true,false,0,0
1,10,14,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,11,15,0,0,0,,true,true,2,0,1,1,true,false,0,0
1,12,16,0,0,0,,true,true,4,0,1,1,true,false,0,0
1,13,27,10,10,0,224,false,false,0,0,0,0,false,false,0,0
1,14,66,1,0,1,,true,true,11,1,1,1,true,false,0,0
1,15,71,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,16,74,0,0,0,,true,true,7,2,4,3,true,false,0,0
1,17,112,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,18,121,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,19,122,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,20,149,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,21,153,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,22,156,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,23,157,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,24,163,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,25,166,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,26,167,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,27,168,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,28,172,0,0,0,,true,true,3,4,1,1,true,false,0,0
1,29,173,0,0,0,,true,true,8,5,3,3,true,false,0,0
1,30,175,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,31,176,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,32,177,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,33,179,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,34,180,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,35,185,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,36,186,0,0,0,,true,true,14,38,11,8,true,false,0,0
1,37,188,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,38,190,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,39,192,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,40,195,0,0,0,,true,true,10,5,3,3,true,false,0,0
1,41,203,0,0,0,,true,true,9,62,4,3,true,false,0,0
1,42,204,0,0,0,,true,true,2,0,1,1,true,false,0,0
1,43,208,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,44,209,0,0,0,,true,true,6,9,8,8,true,false,0,0
1,45,213,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,46,214,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,47,222,0,0,0,,true,true,2,0,1,1,true,false,0,0
1,48,223,0,0,0,,true,true,2,0,1,1,true,false,0,0
1,49,225,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,50,226,0,0,0,,true,true,3,0,1,1,true,false,0,0
1,51,229,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,52,230,0,0,0,,true,true,2,0,1,1,true,false,0,0
1,53,270,0,0,0,,true,true,5,43,5,4,true,false,0,0
1,54,280,2,2,0,64,true,true,7,0,1,1,true,false,0,0
1,55,304,10,10,0,80,true,true,24,0,1,1,true,false,0,0
1,56,305,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,57,310,1,0,1,,true,true,4,0,1,1,true,false,0,0
1,58,315,0,0,0,,true,true,4,0,1,1,true,false,0,0
1,59,348,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,60,349,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,61,354,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,62,355,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,63,356,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,64,357,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,65,358,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,66,359,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,67,363,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,68,364,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,69,407,0,0,0,,true,true,3,2,3,3,true,false,0,0
1,70,428,0,0,0,,true,true,1,0,1,1,true,false,0,0
1,71,433,0,0,0,,true,true,11,22,4,3,true,false,0,0
1,72,437,0,0,0,,true,true,18,68,7,7,true,false,0,0
1,73,454,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,74,457,0,0,0,,true,true,3,2,1,1,true,false,0,0
1,75,459,25,25,0,576,true,true,48,51,21,21,true,false,0,0
1,76,479,0,0,0,,true,true,5,10,1,1,true,false,0,0
1,77,483,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,78,500,199,199,0,256,true,true,2,0,1,1,true,false,0,0
1,79,501,12,12,0,256,true,true,4,0,1,1,true,false,0,0
1,80,502,4,4,0,256,true,true,5,0,1,1,true,false,0,0
1,81,505,1,1,0,256,true,true,6,0,1,1,true,false,0,0
1,82,511,24,24,0,256,true,true,2,0,1,1,true,false,0,0
1,83,530,0,0,0,,true,true,49,31,3,3,true,false,0,0
1,84,531,0,0,0,,true,true,63,27,3,3,true,false,0,0
1,85,562,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,86,567,0,0,0,,true,true,3,2,1,1,true,false,0,0
1,87,572,5,5,0,688,true,true,18,77,4,4,true,false,0,0
1,88,577,68,68,0,624,true,true,21,36,11,11,true,false,0,0
1,89,585,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,90,601,0,0,0,,true,true,22,33,18,18,true,false,0,0
1,91,604,1,1,0,16,true,true,12,13,7,7,true,false,0,0
1,92,605,20,20,0,32,false,false,0,0,0,0,false,false,0,0
1,93,607,0,0,0,,true,true,17,36,9,9,true,false,0,0
1,94,608,0,0,0,,true,true,6,15,9,9,true,false,0,0
1,95,609,0,0,0,,true,true,7,10,5,5,true,false,0,0
1,96,613,4,4,0,48,false,false,0,0,0,0,false,false,0,0
1,97,614,0,0,0,,true,true,8,1,1,1,true,false,0,0
1,98,618,0,0,0,,true,true,7,5,1,1,true,false,0,0
1,99,619,0,0,0,,false,false,0,0,0,0,false,false,0,0
1,100,634,0,0,0,,true,true,26,75,9,8,true,false,0,0
1,101,639,0,0,0,,true,true,1,0,1,1,true,false,0,0
