table_index,slot0_header_lba,slot0_size_sectors,slot0_header_size,slot0_raw_word_04,slot0_raw_word_08,slot1_header_lba,slot1_size_sectors,slot1_header_size,slot1_raw_word_04,slot1_raw_word_08,slot2_header_lba,slot2_size_sectors,slot2_header_size,slot2_raw_word_04,slot2_raw_word_08
0,,,,,,,,,,,,,,,
1,1017,11346,6168,770769,4,1021,9439,96,1162307,1,1022,13678,9968,1583737,5
2,1027,9886,6168,782115,4,1031,9284,96,1171746,2,1032,17000,9968,1597415,5
3,1037,34296,6168,792001,4,1041,8520,96,1181030,3,1042,113186,9968,1614415,5
4,1047,15826,6168,826297,4,1051,10482,96,1189550,4,1052,21121,9968,1727601,5
5,1057,15375,6168,842123,4,1061,9201,96,1200032,5,1062,18300,9968,1748722,5
6,1067,4375,6168,857498,4,1071,7881,96,1209233,6,1072,8140,9968,1767022,5
7,1077,38619,6168,861873,4,1081,9699,96,1217114,7,1082,26055,9968,1775162,5
8,1087,5568,6168,900492,4,1091,9484,96,1226813,8,1092,9826,9968,1801217,5
9,1097,11000,6168,906060,4,1101,10677,96,1236297,9,1102,11762,9968,1811043,5
10,1107,15120,6168,917060,4,1111,10259,96,1246974,10,1112,24674,9968,1822805,5
11,1117,6282,6168,932180,4,1121,8851,96,1257233,11,1122,10451,9968,1847479,5
12,1127,7805,6168,941578,4,1131,8765,96,1266084,12,1132,8925,9968,1857930,5
13,1137,8046,6168,949383,4,1141,8411,96,1274849,13,1142,11244,9968,1866855,5
14,1147,6378,6168,957429,4,1151,8793,96,1283260,14,1152,11707,9968,1878099,5
15,,,,,,,,,,,,,,,
16,1157,4121,6168,963807,4,1161,8696,96,1292053,16,1162,36869,9968,1889806,5
17,1167,3198,6168,967928,4,1171,8728,96,1300749,17,1172,13022,9968,1926675,5
18,1177,12861,6168,971126,4,1181,8945,96,1309477,18,1182,1474,9968,1939697,5
19,1187,10828,6168,983987,4,1191,11562,96,1318422,19,1192,17591,9968,1941171,5
20,1197,8217,6168,994815,4,1201,9292,96,1329984,20,1202,18672,9968,1958762,5
21,1207,8987,6168,1003032,4,1211,6119,96,1339276,21,1212,14069,9968,1977434,5
22,1217,4720,6168,1012019,4,1221,8556,96,1345395,22,1222,1802,9968,1991503,5
23,1227,13355,6168,1016739,4,1231,8326,96,1353951,23,1232,25870,9968,1993305,5
24,1237,4746,6168,1030094,4,1241,10493,96,1362277,24,1242,5,9968,2019175,0
25,,,,,,,,,,,,,,,
26,1247,12029,6168,1034840,4,1251,8787,96,1372770,26,1252,1816,9968,2019180,5
27,1257,3348,6168,1046869,4,1261,7106,96,1381557,27,1262,13535,9968,2020996,5
28,1267,3474,6168,1050217,4,1271,7663,96,1388663,28,1272,8758,9968,2034531,5
29,1277,12024,6168,1053691,4,1281,8735,96,1396326,29,1282,5,9968,2043289,0
30,1287,3638,6168,1065715,4,1291,6580,96,1405061,30,1292,5,9968,2043294,0
31,1297,10652,6168,1069353,4,1301,6215,96,1411641,31,1302,5,9968,2043299,0
32,1307,5131,6168,1080005,4,1311,6890,96,1417856,32,1312,5,9968,2043304,0
33,1317,2464,6168,1085136,4,1321,6525,96,1424746,33,1322,5,9968,2043309,0
34,1327,5476,6168,1087600,4,1331,5931,96,1431271,34,1332,5,9968,2043314,0
35,1337,5623,6168,1093076,4,1341,6262,96,1437202,35,1342,5,9968,2043319,0
36,1347,5424,6168,1098699,4,1351,6803,96,1443464,36,1352,5,9968,2043324,0
37,,,,,,,,,,,,,,,
38,1357,38726,6168,1104123,4,,,,,,,,,,
39,,,,,,1361,5467,96,1450267,39,1362,5,9968,2043329,0
40,,,,,,1367,8638,96,1455734,40,1368,5,9968,2043334,0
41,,,,,,1373,8574,96,1464372,41,1374,5,9968,2043339,0
42,,,,,,1379,8959,96,1472946,42,1380,5,9968,2043344,0
43,,,,,,1385,9254,96,1481905,43,1386,5,9968,2043349,0
44,,,,,,1391,8704,96,1491159,44,1392,5,9968,2043354,0
45,,,,,,1397,8964,96,1499863,45,1398,5,9968,2043359,0
46,,,,,,1403,5471,96,1508827,46,1404,5,9968,2043364,0
47,,,,,,1409,6209,96,1514298,47,1410,5,9968,2043369,0
48,,,,,,1415,5651,96,1520507,48,1416,5,9968,2043374,0
49,,,,,,1421,6400,96,1526158,49,1422,5,9968,2043379,0
50,,,,,,1427,8225,96,1532558,50,1428,5,9968,2043384,0
51,,,,,,1433,8427,96,1540783,51,1434,560,9968,2043389,0
52,,,,,,1439,8869,96,1549210,52,1440,5,9968,2043949,0
53,,,,,,1445,8630,96,1558079,53,1446,5,9968,2043954,0
54,,,,,,1451,8601,96,1566709,54,1452,5,9968,2043959,0
55,,,,,,1457,8427,96,1575310,55,1458,5,9968,2043964,0
